014  00377 |Loss: 1.362892 | Acc: 63.000% 
014  00378 |Loss: 1.397324 | Acc: 62.000% 
014  00379 |Loss: 1.377972 | Acc: 62.000% 
014  00380 |Loss: 1.453251 | Acc: 60.000% 
014  00381 |Loss: 1.519664 | Acc: 58.000% 
014  00382 |Loss: 1.537748 | Acc: 58.000% 
014  00383 |Loss: 1.534499 | Acc: 58.000% 
014  00384 |Loss: 1.550011 | Acc: 58.000% 
014  00385 |Loss: 1.546475 | Acc: 58.000% 
014  00386 |Loss: 1.509746 | Acc: 59.000% 
014  00387 |Loss: 1.524308 | Acc: 58.000% 
014  00388 |Loss: 1.537662 | Acc: 58.000% 
014  00389 |Loss: 1.549978 | Acc: 58.000% 
014  00390 |Loss: 1.532998 | Acc: 58.000% 
014  00391 |Loss: 1.530887 | Acc: 58.000% 
014  00392 |Loss: 1.515743 | Acc: 58.000% 
015  00393 |Loss: 2.213609 | Acc: 40.000% 
015  00394 |Loss: 1.844684 | Acc: 50.000% 
015  00395 |Loss: 1.844745 | Acc: 50.000% 
015  00396 |Loss: 1.660487 | Acc: 55.000% 
015  00397 |Loss: 1.476133 | Acc: 60.000% 
015  00398 |Loss: 1.291775 | Acc: 65.000% 
015  00399 |Loss: 1.318140 | Acc: 64.000% 
015  00400 |Loss: 1.383946 | Acc: 62.000% 
015  00401 |Loss: 1.394164 | Acc: 62.000% 
015  00402 |Loss: 1.291666 | Acc: 65.000% 
015  00403 |Loss: 1.408998 | Acc: 61.000% 
015  00404 |Loss: 1.414601 | Acc: 61.000% 
015  00405 |Loss: 1.447677 | Acc: 60.000% 
015  00406 |Loss: 1.476030 | Acc: 60.000% 
015  00407 |Loss: 1.476001 | Acc: 60.000% 
015  00408 |Loss: 1.452926 | Acc: 60.000% 
015  00409 |Loss: 1.454286 | Acc: 60.000% 
015  00410 |Loss: 1.394037 | Acc: 62.000% 
015  00411 |Loss: 1.417769 | Acc: 61.000% 
015  00412 |Loss: 1.439150 | Acc: 61.000% 
015  00413 |Loss: 1.493597 | Acc: 59.000% 
015  00414 |Loss: 1.476047 | Acc: 60.000% 
015  00415 |Loss: 1.476055 | Acc: 60.000% 
015  00416 |Loss: 1.460676 | Acc: 60.000% 
015  00417 |Loss: 1.461326 | Acc: 60.000% 
015  00418 |Loss: 1.490251 | Acc: 59.000% 
015  00419 |Loss: 1.517113 | Acc: 58.000% 
015  00420 |Loss: 1.515653 | Acc: 58.000% 
016  00421 |Loss: 2.213478 | Acc: 40.000% 
016  00422 |Loss: 2.398163 | Acc: 35.000% 
016  00423 |Loss: 1.967836 | Acc: 46.000% 
016  00424 |Loss: 1.752636 | Acc: 52.000% 
016  00425 |Loss: 1.623550 | Acc: 56.000% 
016  00426 |Loss: 1.660431 | Acc: 55.000% 
016  00427 |Loss: 1.634111 | Acc: 55.000% 
016  00428 |Loss: 1.660524 | Acc: 55.000% 
016  00429 |Loss: 1.558015 | Acc: 57.000% 
016  00430 |Loss: 1.660463 | Acc: 55.000% 
016  00431 |Loss: 1.543152 | Acc: 58.000% 
016  00432 |Loss: 1.476141 | Acc: 60.000% 
016  00433 |Loss: 1.532880 | Acc: 58.000% 
016  00434 |Loss: 1.502528 | Acc: 59.000% 
016  00435 |Loss: 1.476225 | Acc: 60.000% 
016  00436 |Loss: 1.430129 | Acc: 61.000% 
016  00437 |Loss: 1.476202 | Acc: 60.000% 
016  00438 |Loss: 1.517171 | Acc: 58.000% 
016  00439 |Loss: 1.573234 | Acc: 57.000% 
016  00440 |Loss: 1.531478 | Acc: 58.000% 
016  00441 |Loss: 1.528876 | Acc: 58.000% 
016  00442 |Loss: 1.526468 | Acc: 58.000% 
016  00443 |Loss: 1.508231 | Acc: 59.000% 
016  00444 |Loss: 1.522256 | Acc: 58.000% 
016  00445 |Loss: 1.564658 | Acc: 57.000% 
016  00446 |Loss: 1.547049 | Acc: 58.000% 
016  00447 |Loss: 1.544466 | Acc: 58.000% 
016  00448 |Loss: 1.515707 | Acc: 58.000% 
017  00449 |Loss: 1.476502 | Acc: 60.000% 
017  00450 |Loss: 1.661129 | Acc: 55.000% 
017  00451 |Loss: 1.599329 | Acc: 56.000% 
017  00452 |Loss: 1.568441 | Acc: 57.000% 
017  00453 |Loss: 1.697435 | Acc: 54.000% 
017  00454 |Loss: 1.722053 | Acc: 53.000% 
017  00455 |Loss: 1.581732 | Acc: 57.000% 
017  00456 |Loss: 1.614651 | Acc: 56.000% 
017  00457 |Loss: 1.558247 | Acc: 57.000% 
017  00458 |Loss: 1.439361 | Acc: 61.000% 
017  00459 |Loss: 1.375598 | Acc: 62.000% 
017  00460 |Loss: 1.353214 | Acc: 63.000% 
017  00461 |Loss: 1.391013 | Acc: 62.000% 
017  00462 |Loss: 1.344395 | Acc: 63.000% 
017  00463 |Loss: 1.402380 | Acc: 62.000% 
017  00464 |Loss: 1.430016 | Acc: 61.000% 
017  00465 |Loss: 1.454447 | Acc: 60.000% 
017  00466 |Loss: 1.496638 | Acc: 59.000% 
017  00467 |Loss: 1.437309 | Acc: 61.000% 
017  00468 |Loss: 1.457681 | Acc: 60.000% 
017  00469 |Loss: 1.458566 | Acc: 60.000% 
017  00470 |Loss: 1.459345 | Acc: 60.000% 
017  00471 |Loss: 1.460054 | Acc: 60.000% 
017  00472 |Loss: 1.476090 | Acc: 60.000% 
017  00473 |Loss: 1.490843 | Acc: 59.000% 
017  00474 |Loss: 1.476094 | Acc: 60.000% 
017  00475 |Loss: 1.503405 | Acc: 59.000% 
017  00476 |Loss: 1.515594 | Acc: 58.000% 
018  00477 |Loss: 1.107395 | Acc: 70.000% 
018  00478 |Loss: 0.922967 | Acc: 75.000% 
018  00479 |Loss: 0.984321 | Acc: 73.000% 
018  00480 |Loss: 1.107190 | Acc: 70.000% 
018  00481 |Loss: 1.107174 | Acc: 70.000% 
018  00482 |Loss: 1.168627 | Acc: 68.000% 
018  00483 |Loss: 1.159811 | Acc: 68.000% 
018  00484 |Loss: 1.291639 | Acc: 65.000% 
018  00485 |Loss: 1.312125 | Acc: 64.000% 
018  00486 |Loss: 1.402276 | Acc: 62.000% 
018  00487 |Loss: 1.442486 | Acc: 60.000% 
018  00488 |Loss: 1.445247 | Acc: 60.000% 
018  00489 |Loss: 1.447614 | Acc: 60.000% 
018  00490 |Loss: 1.397008 | Acc: 62.000% 
018  00491 |Loss: 1.476066 | Acc: 60.000% 
018  00492 |Loss: 1.522159 | Acc: 58.000% 
018  00493 |Loss: 1.562826 | Acc: 57.000% 
018  00494 |Loss: 1.598983 | Acc: 56.000% 
018  00495 |Loss: 1.573093 | Acc: 57.000% 
018  00496 |Loss: 1.605112 | Acc: 56.000% 
018  00497 |Loss: 1.616522 | Acc: 56.000% 
018  00498 |Loss: 1.593387 | Acc: 56.000% 
018  00499 |Loss: 1.604321 | Acc: 56.000% 
