008  00207 |Loss: 0.515024 | Acc: 100.000% 
008  00208 |Loss: 0.510260 | Acc: 100.000% 
008  00209 |Loss: 0.506546 | Acc: 100.000% 
008  00210 |Loss: 0.497297 | Acc: 100.000% 
008  00211 |Loss: 0.495346 | Acc: 100.000% 
008  00212 |Loss: 0.492613 | Acc: 100.000% 
008  00213 |Loss: 0.486628 | Acc: 100.000% 
008  00214 |Loss: 0.488238 | Acc: 100.000% 
008  00215 |Loss: 0.482664 | Acc: 100.000% 
008  00216 |Loss: 0.486526 | Acc: 100.000% 
008  00217 |Loss: 0.480072 | Acc: 100.000% 
008  00218 |Loss: 0.479987 | Acc: 100.000% 
008  00219 |Loss: 0.480577 | Acc: 100.000% 
008  00220 |Loss: 0.486006 | Acc: 100.000% 
008  00221 |Loss: 0.482875 | Acc: 100.000% 
008  00222 |Loss: 0.478921 | Acc: 100.000% 
008  00223 |Loss: 0.474865 | Acc: 100.000% 
008  00224 |Loss: 0.471250 | Acc: 100.000% 
009  00225 |Loss: 0.473598 | Acc: 100.000% 
009  00226 |Loss: 0.431748 | Acc: 100.000% 
009  00227 |Loss: 0.394515 | Acc: 100.000% 
009  00228 |Loss: 0.388399 | Acc: 100.000% 
009  00229 |Loss: 0.376483 | Acc: 100.000% 
009  00230 |Loss: 0.357526 | Acc: 100.000% 
009  00231 |Loss: 0.358172 | Acc: 100.000% 
009  00232 |Loss: 0.353820 | Acc: 100.000% 
009  00233 |Loss: 0.347374 | Acc: 100.000% 
009  00234 |Loss: 0.351989 | Acc: 100.000% 
009  00235 |Loss: 0.348284 | Acc: 100.000% 
009  00236 |Loss: 0.342713 | Acc: 100.000% 
009  00237 |Loss: 0.345842 | Acc: 100.000% 
009  00238 |Loss: 0.343660 | Acc: 100.000% 
009  00239 |Loss: 0.340155 | Acc: 100.000% 
009  00240 |Loss: 0.340870 | Acc: 100.000% 
009  00241 |Loss: 0.336238 | Acc: 100.000% 
009  00242 |Loss: 0.333641 | Acc: 100.000% 
009  00243 |Loss: 0.329914 | Acc: 100.000% 
009  00244 |Loss: 0.326091 | Acc: 100.000% 
009  00245 |Loss: 0.323361 | Acc: 100.000% 
009  00246 |Loss: 0.321728 | Acc: 100.000% 
009  00247 |Loss: 0.318067 | Acc: 100.000% 
009  00248 |Loss: 0.321764 | Acc: 100.000% 
009  00249 |Loss: 0.319092 | Acc: 100.000% 
009  00250 |Loss: 0.318040 | Acc: 100.000% 
009  00251 |Loss: 0.315155 | Acc: 100.000% 
009  00252 |Loss: 0.311656 | Acc: 100.000% 
010  00253 |Loss: 0.223582 | Acc: 100.000% 
010  00254 |Loss: 0.227131 | Acc: 100.000% 
010  00255 |Loss: 0.235511 | Acc: 100.000% 
010  00256 |Loss: 0.234859 | Acc: 100.000% 
010  00257 |Loss: 0.233139 | Acc: 100.000% 
010  00258 |Loss: 0.245321 | Acc: 100.000% 
010  00259 |Loss: 0.241832 | Acc: 100.000% 
010  00260 |Loss: 0.240691 | Acc: 100.000% 
010  00261 |Loss: 0.235910 | Acc: 100.000% 
010  00262 |Loss: 0.230703 | Acc: 100.000% 
010  00263 |Loss: 0.231520 | Acc: 100.000% 
010  00264 |Loss: 0.229747 | Acc: 100.000% 
010  00265 |Loss: 0.230766 | Acc: 100.000% 
010  00266 |Loss: 0.229333 | Acc: 100.000% 
010  00267 |Loss: 0.226588 | Acc: 100.000% 
010  00268 |Loss: 0.224508 | Acc: 100.000% 
010  00269 |Loss: 0.221388 | Acc: 100.000% 
010  00270 |Loss: 0.220472 | Acc: 100.000% 
010  00271 |Loss: 0.217508 | Acc: 100.000% 
010  00272 |Loss: 0.216049 | Acc: 100.000% 
010  00273 |Loss: 0.223387 | Acc: 100.000% 
010  00274 |Loss: 0.220509 | Acc: 100.000% 
010  00275 |Loss: 0.217575 | Acc: 100.000% 
010  00276 |Loss: 0.215863 | Acc: 100.000% 
010  00277 |Loss: 0.213362 | Acc: 100.000% 
010  00278 |Loss: 0.215840 | Acc: 100.000% 
010  00279 |Loss: 0.214334 | Acc: 100.000% 
010  00280 |Loss: 0.211159 | Acc: 100.000% 
011  00281 |Loss: 0.190867 | Acc: 100.000% 
011  00282 |Loss: 0.187954 | Acc: 100.000% 
011  00283 |Loss: 0.178058 | Acc: 100.000% 
011  00284 |Loss: 0.179069 | Acc: 100.000% 
011  00285 |Loss: 0.167304 | Acc: 100.000% 
011  00286 |Loss: 0.166685 | Acc: 100.000% 
011  00287 |Loss: 0.166350 | Acc: 100.000% 
011  00288 |Loss: 0.164385 | Acc: 100.000% 
011  00289 |Loss: 0.162141 | Acc: 100.000% 
011  00290 |Loss: 0.161940 | Acc: 100.000% 
011  00291 |Loss: 0.166437 | Acc: 100.000% 
011  00292 |Loss: 0.164456 | Acc: 100.000% 
011  00293 |Loss: 0.161981 | Acc: 100.000% 
011  00294 |Loss: 0.160071 | Acc: 100.000% 
011  00295 |Loss: 0.157761 | Acc: 100.000% 
011  00296 |Loss: 0.156269 | Acc: 100.000% 
011  00297 |Loss: 0.154201 | Acc: 100.000% 
011  00298 |Loss: 0.153393 | Acc: 100.000% 
011  00299 |Loss: 0.153295 | Acc: 100.000% 
011  00300 |Loss: 0.152853 | Acc: 100.000% 
011  00301 |Loss: 0.151404 | Acc: 100.000% 
011  00302 |Loss: 0.150659 | Acc: 100.000% 
011  00303 |Loss: 0.149439 | Acc: 100.000% 
011  00304 |Loss: 0.149096 | Acc: 100.000% 
011  00305 |Loss: 0.147443 | Acc: 100.000% 
011  00306 |Loss: 0.146455 | Acc: 100.000% 
011  00307 |Loss: 0.145415 | Acc: 100.000% 
011  00308 |Loss: 0.144665 | Acc: 100.000% 
012  00309 |Loss: 0.104706 | Acc: 100.000% 
012  00310 |Loss: 0.109201 | Acc: 100.000% 
012  00311 |Loss: 0.109620 | Acc: 100.000% 
012  00312 |Loss: 0.109412 | Acc: 100.000% 
012  00313 |Loss: 0.108936 | Acc: 100.000% 
012  00314 |Loss: 0.105589 | Acc: 100.000% 
012  00315 |Loss: 0.104232 | Acc: 100.000% 
012  00316 |Loss: 0.105644 | Acc: 100.000% 
012  00317 |Loss: 0.107811 | Acc: 100.000% 
012  00318 |Loss: 0.106809 | Acc: 100.000% 
012  00319 |Loss: 0.104183 | Acc: 100.000% 
012  00320 |Loss: 0.105476 | Acc: 100.000% 
012  00321 |Loss: 0.103912 | Acc: 100.000% 
012  00322 |Loss: 0.107156 | Acc: 100.000% 
012  00323 |Loss: 0.106582 | Acc: 100.000% 
012  00324 |Loss: 0.107156 | Acc: 100.000% 
012  00325 |Loss: 0.106011 | Acc: 100.000% 
012  00326 |Loss: 0.108379 | Acc: 100.000% 
012  00327 |Loss: 0.107526 | Acc: 100.000% 
012  00328 |Loss: 0.110036 | Acc: 100.000% 
012  00329 |Loss: 0.108729 | Acc: 100.000% 
012  00330 |Loss: 0.108031 | Acc: 100.000% 
012  00331 |Loss: 0.107788 | Acc: 100.000% 
012  00332 |Loss: 0.107635 | Acc: 100.000% 
012  00333 |Loss: 0.107972 | Acc: 100.000% 
012  00334 |Loss: 0.108089 | Acc: 100.000% 
012  00335 |Loss: 0.107629 | Acc: 100.000% 
012  00336 |Loss: 0.106822 | Acc: 100.000% 
013  00337 |Loss: 0.097490 | Acc: 100.000% 
013  00338 |Loss: 0.097299 | Acc: 100.000% 
013  00339 |Loss: 0.104351 | Acc: 100.000% 
013  00340 |Loss: 0.097911 | Acc: 100.000% 
013  00341 |Loss: 0.092978 | Acc: 100.000% 
013  00342 |Loss: 0.090964 | Acc: 100.000% 
013  00343 |Loss: 0.097988 | Acc: 100.000% 
013  00344 |Loss: 0.094284 | Acc: 100.000% 
013  00345 |Loss: 0.093636 | Acc: 100.000% 
013  00346 |Loss: 0.092254 | Acc: 100.000% 
013  00347 |Loss: 0.091016 | Acc: 100.000% 
013  00348 |Loss: 0.092004 | Acc: 100.000% 
013  00349 |Loss: 0.091527 | Acc: 100.000% 
013  00350 |Loss: 0.092054 | Acc: 100.000% 
013  00351 |Loss: 0.091134 | Acc: 100.000% 
013  00352 |Loss: 0.090494 | Acc: 100.000% 
013  00353 |Loss: 0.092112 | Acc: 100.000% 
013  00354 |Loss: 0.092237 | Acc: 100.000% 
013  00355 |Loss: 0.093052 | Acc: 100.000% 
013  00356 |Loss: 0.093041 | Acc: 100.000% 
013  00357 |Loss: 0.091927 | Acc: 100.000% 
013  00358 |Loss: 0.091963 | Acc: 100.000% 
013  00359 |Loss: 0.091207 | Acc: 100.000% 
013  00360 |Loss: 0.090813 | Acc: 100.000% 
013  00361 |Loss: 0.090150 | Acc: 100.000% 
013  00362 |Loss: 0.089952 | Acc: 100.000% 
013  00363 |Loss: 0.089263 | Acc: 100.000% 
013  00364 |Loss: 0.089157 | Acc: 100.000% 
014  00365 |Loss: 0.084678 | Acc: 100.000% 
014  00366 |Loss: 0.077055 | Acc: 100.000% 
014  00367 |Loss: 0.079171 | Acc: 100.000% 
014  00368 |Loss: 0.077416 | Acc: 100.000% 
014  00369 |Loss: 0.075342 | Acc: 100.000% 
014  00370 |Loss: 0.077835 | Acc: 100.000% 
014  00371 |Loss: 0.075098 | Acc: 100.000% 
014  00372 |Loss: 0.073800 | Acc: 100.000% 
014  00373 |Loss: 0.072619 | Acc: 100.000% 
014  00374 |Loss: 0.070317 | Acc: 100.000% 
014  00375 |Loss: 0.068723 | Acc: 100.000% 
014  00376 |Loss: 0.068256 | Acc: 100.000% 
014  00377 |Loss: 0.068528 | Acc: 100.000% 
014  00378 |Loss: 0.069373 | Acc: 100.000% 
014  00379 |Loss: 0.070791 | Acc: 100.000% 
014  00380 |Loss: 0.073951 | Acc: 100.000% 
014  00381 |Loss: 0.073271 | Acc: 100.000% 
014  00382 |Loss: 0.072533 | Acc: 100.000% 
014  00383 |Loss: 0.071803 | Acc: 100.000% 
014  00384 |Loss: 0.072287 | Acc: 100.000% 
014  00385 |Loss: 0.072158 | Acc: 100.000% 
014  00386 |Loss: 0.072479 | Acc: 100.000% 
014  00387 |Loss: 0.071927 | Acc: 100.000% 
014  00388 |Loss: 0.072123 | Acc: 100.000% 
014  00389 |Loss: 0.071587 | Acc: 100.000% 
014  00390 |Loss: 0.071073 | Acc: 100.000% 
014  00391 |Loss: 0.070501 | Acc: 100.000% 
014  00392 |Loss: 0.070017 | Acc: 100.000% 
015  00393 |Loss: 0.069624 | Acc: 100.000% 
015  00394 |Loss: 0.058628 | Acc: 100.000% 
015  00395 |Loss: 0.063252 | Acc: 100.000% 
015  00396 |Loss: 0.067543 | Acc: 100.000% 
015  00397 |Loss: 0.071203 | Acc: 100.000% 
015  00398 |Loss: 0.068812 | Acc: 100.000% 
015  00399 |Loss: 0.070334 | Acc: 100.000% 
015  00400 |Loss: 0.068148 | Acc: 100.000% 
015  00401 |Loss: 0.066634 | Acc: 100.000% 
015  00402 |Loss: 0.065882 | Acc: 100.000% 
015  00403 |Loss: 0.065158 | Acc: 100.000% 
015  00404 |Loss: 0.063964 | Acc: 100.000% 
015  00405 |Loss: 0.064266 | Acc: 100.000% 
015  00406 |Loss: 0.064377 | Acc: 100.000% 
015  00407 |Loss: 0.063463 | Acc: 100.000% 
015  00408 |Loss: 0.062806 | Acc: 100.000% 
015  00409 |Loss: 0.062653 | Acc: 100.000% 
015  00410 |Loss: 0.062332 | Acc: 100.000% 
015  00411 |Loss: 0.063118 | Acc: 100.000% 
015  00412 |Loss: 0.063042 | Acc: 100.000% 
015  00413 |Loss: 0.064256 | Acc: 100.000% 
015  00414 |Loss: 0.064505 | Acc: 100.000% 
015  00415 |Loss: 0.063837 | Acc: 100.000% 
015  00416 |Loss: 0.063452 | Acc: 100.000% 
015  00417 |Loss: 0.063347 | Acc: 100.000% 
015  00418 |Loss: 0.063499 | Acc: 100.000% 
015  00419 |Loss: 0.062705 | Acc: 100.000% 
015  00420 |Loss: 0.063169 | Acc: 100.000% 
016  00421 |Loss: 0.048408 | Acc: 100.000% 
016  00422 |Loss: 0.049247 | Acc: 100.000% 
016  00423 |Loss: 0.055875 | Acc: 100.000% 
016  00424 |Loss: 0.054406 | Acc: 100.000% 
016  00425 |Loss: 0.053010 | Acc: 100.000% 
016  00426 |Loss: 0.053824 | Acc: 100.000% 
016  00427 |Loss: 0.059290 | Acc: 100.000% 
016  00428 |Loss: 0.057244 | Acc: 100.000% 
016  00429 |Loss: 0.056635 | Acc: 100.000% 
016  00430 |Loss: 0.057068 | Acc: 100.000% 
016  00431 |Loss: 0.057630 | Acc: 100.000% 
016  00432 |Loss: 0.057387 | Acc: 100.000% 
016  00433 |Loss: 0.057805 | Acc: 100.000% 
016  00434 |Loss: 0.057227 | Acc: 100.000% 
016  00435 |Loss: 0.056321 | Acc: 100.000% 
016  00436 |Loss: 0.056524 | Acc: 100.000% 
016  00437 |Loss: 0.056094 | Acc: 100.000% 
016  00438 |Loss: 0.056071 | Acc: 100.000% 
016  00439 |Loss: 0.055897 | Acc: 100.000% 
016  00440 |Loss: 0.055813 | Acc: 100.000% 
016  00441 |Loss: 0.055078 | Acc: 100.000% 
016  00442 |Loss: 0.054693 | Acc: 100.000% 
016  00443 |Loss: 0.055114 | Acc: 100.000% 
016  00444 |Loss: 0.055095 | Acc: 100.000% 
016  00445 |Loss: 0.054731 | Acc: 100.000% 
016  00446 |Loss: 0.055248 | Acc: 100.000% 
016  00447 |Loss: 0.054932 | Acc: 100.000% 
016  00448 |Loss: 0.054682 | Acc: 100.000% 
017  00449 |Loss: 0.052851 | Acc: 100.000% 
