013  00345 |Loss: 2.545012 | Acc: 27.000% 
013  00346 |Loss: 2.591811 | Acc: 26.000% 
013  00347 |Loss: 2.653457 | Acc: 25.000% 
013  00348 |Loss: 2.629626 | Acc: 25.000% 
013  00349 |Loss: 2.607474 | Acc: 26.000% 
013  00350 |Loss: 2.607883 | Acc: 25.000% 
013  00351 |Loss: 2.596153 | Acc: 25.000% 
013  00352 |Loss: 2.686961 | Acc: 24.000% 
013  00353 |Loss: 2.753183 | Acc: 23.000% 
013  00354 |Loss: 2.723573 | Acc: 25.000% 
013  00355 |Loss: 2.721282 | Acc: 26.000% 
013  00356 |Loss: 2.709344 | Acc: 26.000% 
013  00357 |Loss: 2.709629 | Acc: 26.000% 
013  00358 |Loss: 2.686113 | Acc: 26.000% 
013  00359 |Loss: 2.657925 | Acc: 27.000% 
013  00360 |Loss: 2.650828 | Acc: 28.000% 
013  00361 |Loss: 2.677285 | Acc: 27.000% 
013  00362 |Loss: 2.695368 | Acc: 27.000% 
013  00363 |Loss: 2.734682 | Acc: 27.000% 
013  00364 |Loss: 2.783237 | Acc: 26.000% 
014  00365 |Loss: 2.093401 | Acc: 40.000% 
014  00366 |Loss: 1.685784 | Acc: 55.000% 
014  00367 |Loss: 2.283798 | Acc: 43.000% 
014  00368 |Loss: 2.309887 | Acc: 37.000% 
014  00369 |Loss: 2.329908 | Acc: 36.000% 
014  00370 |Loss: 2.487642 | Acc: 30.000% 
014  00371 |Loss: 2.414750 | Acc: 32.000% 
014  00372 |Loss: 2.465489 | Acc: 31.000% 
014  00373 |Loss: 2.428484 | Acc: 31.000% 
014  00374 |Loss: 2.442619 | Acc: 31.000% 
014  00375 |Loss: 2.446162 | Acc: 31.000% 
014  00376 |Loss: 2.462342 | Acc: 32.000% 
014  00377 |Loss: 2.498715 | Acc: 32.000% 
014  00378 |Loss: 2.481088 | Acc: 33.000% 
014  00379 |Loss: 2.528574 | Acc: 31.000% 
014  00380 |Loss: 2.566270 | Acc: 30.000% 
014  00381 |Loss: 2.547816 | Acc: 30.000% 
014  00382 |Loss: 2.528899 | Acc: 30.000% 
014  00383 |Loss: 2.532336 | Acc: 30.000% 
014  00384 |Loss: 2.602536 | Acc: 29.000% 
014  00385 |Loss: 2.644515 | Acc: 28.000% 
014  00386 |Loss: 2.628448 | Acc: 28.000% 
014  00387 |Loss: 2.663821 | Acc: 26.000% 
014  00388 |Loss: 2.630450 | Acc: 27.000% 
014  00389 |Loss: 2.663677 | Acc: 27.000% 
