006  00153 |Loss: 3.152233 | Acc: 11.000% 
006  00154 |Loss: 3.113306 | Acc: 11.000% 
006  00155 |Loss: 3.104169 | Acc: 11.000% 
006  00156 |Loss: 3.089246 | Acc: 10.000% 
006  00157 |Loss: 3.119079 | Acc: 10.000% 
006  00158 |Loss: 3.131294 | Acc: 9.000% 
006  00159 |Loss: 3.138267 | Acc: 9.000% 
006  00160 |Loss: 3.150952 | Acc: 9.000% 
006  00161 |Loss: 3.144661 | Acc: 9.000% 
006  00162 |Loss: 3.125270 | Acc: 9.000% 
006  00163 |Loss: 3.105445 | Acc: 10.000% 
006  00164 |Loss: 3.084333 | Acc: 10.000% 
006  00165 |Loss: 3.058914 | Acc: 10.000% 
006  00166 |Loss: 3.069285 | Acc: 10.000% 
006  00167 |Loss: 3.072223 | Acc: 10.000% 
006  00168 |Loss: 3.076507 | Acc: 9.000% 
007  00169 |Loss: 2.507313 | Acc: 20.000% 
007  00170 |Loss: 2.350966 | Acc: 15.000% 
007  00171 |Loss: 2.490148 | Acc: 16.000% 
007  00172 |Loss: 2.605265 | Acc: 17.000% 
007  00173 |Loss: 2.745696 | Acc: 16.000% 
007  00174 |Loss: 2.765100 | Acc: 16.000% 
007  00175 |Loss: 2.959793 | Acc: 14.000% 
007  00176 |Loss: 2.926841 | Acc: 15.000% 
007  00177 |Loss: 2.921917 | Acc: 16.000% 
007  00178 |Loss: 2.959221 | Acc: 16.000% 
007  00179 |Loss: 2.962004 | Acc: 15.000% 
007  00180 |Loss: 2.958564 | Acc: 15.000% 
007  00181 |Loss: 2.901683 | Acc: 16.000% 
007  00182 |Loss: 2.874168 | Acc: 17.000% 
007  00183 |Loss: 2.858732 | Acc: 18.000% 
007  00184 |Loss: 2.854883 | Acc: 18.000% 
007  00185 |Loss: 2.878223 | Acc: 18.000% 
007  00186 |Loss: 2.902581 | Acc: 17.000% 
007  00187 |Loss: 2.911541 | Acc: 17.000% 
007  00188 |Loss: 2.896911 | Acc: 18.000% 
007  00189 |Loss: 2.914010 | Acc: 18.000% 
007  00190 |Loss: 2.907582 | Acc: 17.000% 
007  00191 |Loss: 2.907816 | Acc: 17.000% 
007  00192 |Loss: 2.915950 | Acc: 17.000% 
007  00193 |Loss: 2.919295 | Acc: 17.000% 
007  00194 |Loss: 2.914148 | Acc: 18.000% 
007  00195 |Loss: 2.943122 | Acc: 18.000% 
007  00196 |Loss: 2.923565 | Acc: 18.000% 
008  00197 |Loss: 2.446329 | Acc: 30.000% 
008  00198 |Loss: 2.487473 | Acc: 30.000% 
008  00199 |Loss: 2.436038 | Acc: 26.000% 
008  00200 |Loss: 2.581558 | Acc: 22.000% 
008  00201 |Loss: 2.689891 | Acc: 22.000% 
008  00202 |Loss: 2.842571 | Acc: 23.000% 
008  00203 |Loss: 2.850843 | Acc: 21.000% 
008  00204 |Loss: 2.913682 | Acc: 21.000% 
008  00205 |Loss: 2.858251 | Acc: 21.000% 
008  00206 |Loss: 2.824999 | Acc: 21.000% 
008  00207 |Loss: 2.832831 | Acc: 21.000% 
008  00208 |Loss: 2.824795 | Acc: 21.000% 
008  00209 |Loss: 2.835855 | Acc: 22.000% 
008  00210 |Loss: 2.856363 | Acc: 22.000% 
008  00211 |Loss: 2.840284 | Acc: 21.000% 
008  00212 |Loss: 2.797530 | Acc: 21.000% 
008  00213 |Loss: 2.804433 | Acc: 21.000% 
008  00214 |Loss: 2.842750 | Acc: 21.000% 
008  00215 |Loss: 2.853630 | Acc: 20.000% 
008  00216 |Loss: 2.891233 | Acc: 20.000% 
008  00217 |Loss: 2.862252 | Acc: 21.000% 
008  00218 |Loss: 2.856737 | Acc: 21.000% 
008  00219 |Loss: 2.839009 | Acc: 21.000% 
008  00220 |Loss: 2.848913 | Acc: 21.000% 
008  00221 |Loss: 2.854631 | Acc: 21.000% 
008  00222 |Loss: 2.872797 | Acc: 21.000% 
008  00223 |Loss: 2.887926 | Acc: 21.000% 
008  00224 |Loss: 2.874504 | Acc: 20.000% 
009  00225 |Loss: 2.920066 | Acc: 20.000% 
009  00226 |Loss: 2.664583 | Acc: 25.000% 
009  00227 |Loss: 2.620483 | Acc: 26.000% 
009  00228 |Loss: 2.783235 | Acc: 22.000% 
009  00229 |Loss: 3.013446 | Acc: 22.000% 
009  00230 |Loss: 2.956420 | Acc: 21.000% 
009  00231 |Loss: 2.956736 | Acc: 20.000% 
009  00232 |Loss: 2.956417 | Acc: 18.000% 
009  00233 |Loss: 2.924135 | Acc: 17.000% 
009  00234 |Loss: 2.929985 | Acc: 19.000% 
009  00235 |Loss: 2.889075 | Acc: 19.000% 
009  00236 |Loss: 2.854320 | Acc: 19.000% 
009  00237 |Loss: 2.829716 | Acc: 19.000% 
009  00238 |Loss: 2.826537 | Acc: 20.000% 
009  00239 |Loss: 2.802094 | Acc: 21.000% 
009  00240 |Loss: 2.855300 | Acc: 21.000% 
009  00241 |Loss: 2.866135 | Acc: 21.000% 
009  00242 |Loss: 2.846950 | Acc: 21.000% 
009  00243 |Loss: 2.803148 | Acc: 22.000% 
009  00244 |Loss: 2.847770 | Acc: 22.000% 
009  00245 |Loss: 2.831248 | Acc: 23.000% 
009  00246 |Loss: 2.840036 | Acc: 23.000% 
009  00247 |Loss: 2.819591 | Acc: 23.000% 
009  00248 |Loss: 2.805489 | Acc: 22.000% 
009  00249 |Loss: 2.807697 | Acc: 22.000% 
009  00250 |Loss: 2.784052 | Acc: 22.000% 
009  00251 |Loss: 2.777746 | Acc: 22.000% 
009  00252 |Loss: 2.771286 | Acc: 22.000% 
010  00253 |Loss: 2.397631 | Acc: 40.000% 
010  00254 |Loss: 2.473638 | Acc: 35.000% 
010  00255 |Loss: 2.443549 | Acc: 36.000% 
010  00256 |Loss: 2.236792 | Acc: 37.000% 
010  00257 |Loss: 2.282892 | Acc: 36.000% 
010  00258 |Loss: 2.432226 | Acc: 31.000% 
010  00259 |Loss: 2.528661 | Acc: 31.000% 
010  00260 |Loss: 2.501709 | Acc: 32.000% 
010  00261 |Loss: 2.666429 | Acc: 30.000% 
010  00262 |Loss: 2.684534 | Acc: 30.000% 
010  00263 |Loss: 2.766688 | Acc: 29.000% 
010  00264 |Loss: 2.735488 | Acc: 28.000% 
010  00265 |Loss: 2.819766 | Acc: 26.000% 
010  00266 |Loss: 2.813616 | Acc: 26.000% 
010  00267 |Loss: 2.811293 | Acc: 28.000% 
010  00268 |Loss: 2.797590 | Acc: 28.000% 
010  00269 |Loss: 2.799048 | Acc: 28.000% 
010  00270 |Loss: 2.801787 | Acc: 28.000% 
010  00271 |Loss: 2.777776 | Acc: 28.000% 
010  00272 |Loss: 2.748672 | Acc: 29.000% 
010  00273 |Loss: 2.768322 | Acc: 28.000% 
010  00274 |Loss: 2.768836 | Acc: 29.000% 
010  00275 |Loss: 2.769825 | Acc: 29.000% 
010  00276 |Loss: 2.781006 | Acc: 28.000% 
010  00277 |Loss: 2.794404 | Acc: 28.000% 
010  00278 |Loss: 2.794505 | Acc: 28.000% 
010  00279 |Loss: 2.825206 | Acc: 27.000% 
010  00280 |Loss: 2.806731 | Acc: 27.000% 
011  00281 |Loss: 3.390054 | Acc: 0.000% 
011  00282 |Loss: 2.992671 | Acc: 15.000% 
011  00283 |Loss: 2.786642 | Acc: 16.000% 
011  00284 |Loss: 2.897777 | Acc: 15.000% 
011  00285 |Loss: 2.905155 | Acc: 16.000% 
011  00286 |Loss: 3.007804 | Acc: 15.000% 
011  00287 |Loss: 2.923205 | Acc: 21.000% 
011  00288 |Loss: 2.936898 | Acc: 21.000% 
011  00289 |Loss: 2.880601 | Acc: 21.000% 
011  00290 |Loss: 2.899205 | Acc: 21.000% 
011  00291 |Loss: 2.870506 | Acc: 21.000% 
011  00292 |Loss: 2.841586 | Acc: 20.000% 
011  00293 |Loss: 2.803462 | Acc: 22.000% 
011  00294 |Loss: 2.804208 | Acc: 22.000% 
011  00295 |Loss: 2.808064 | Acc: 22.000% 
011  00296 |Loss: 2.822290 | Acc: 21.000% 
011  00297 |Loss: 2.751865 | Acc: 23.000% 
011  00298 |Loss: 2.717331 | Acc: 23.000% 
011  00299 |Loss: 2.722740 | Acc: 23.000% 
011  00300 |Loss: 2.722582 | Acc: 23.000% 
011  00301 |Loss: 2.712372 | Acc: 23.000% 
011  00302 |Loss: 2.701852 | Acc: 23.000% 
011  00303 |Loss: 2.710251 | Acc: 23.000% 
011  00304 |Loss: 2.689710 | Acc: 24.000% 
011  00305 |Loss: 2.693978 | Acc: 24.000% 
011  00306 |Loss: 2.711518 | Acc: 24.000% 
011  00307 |Loss: 2.698781 | Acc: 24.000% 
011  00308 |Loss: 2.678240 | Acc: 24.000% 
012  00309 |Loss: 1.933976 | Acc: 40.000% 
012  00310 |Loss: 1.912929 | Acc: 45.000% 
012  00311 |Loss: 2.003616 | Acc: 36.000% 
